stage,run,tau_ns,signed_length_m,length_m,zero_offset_m,corrected_signed_length_m,corrected_length_m,valid_tones,min_dut_amp_db,min_ref_amp_db,residual_deg_rms,verdict
dut_forward,1,4.751674,0.940181,0.940181,0.055000,0.885181,0.885181,55,-8.07,-3.51,0.868,OK
dut_forward,2,4.366209,0.863911,0.863911,0.055000,0.808911,0.808911,55,-8.19,-3.49,0.922,OK
dut_forward,3,4.360087,0.862700,0.862700,0.055000,0.807700,0.807700,55,-8.27,-3.49,0.883,OK
dut_forward,4,4.346273,0.859967,0.859967,0.055000,0.804967,0.804967,55,-8.20,-3.52,0.893,OK
dut_forward,5,4.333870,0.857513,0.857513,0.055000,0.802513,0.802513,55,-8.25,-3.51,0.920,OK
dut_reversed,1,4.954511,0.980314,0.980314,0.055000,0.925314,0.925314,55,-7.63,-3.48,0.907,OK
dut_reversed,2,5.844312,1.156373,1.156373,0.055000,1.101373,1.101373,55,-6.11,-3.50,1.071,OK
dut_reversed,3,5.832785,1.154092,1.154092,0.055000,1.099092,1.099092,55,-6.27,-3.48,1.032,OK
dut_reversed,4,5.777313,1.143117,1.143117,0.055000,1.088117,1.088117,55,-6.49,-3.52,1.015,OK
dut_reversed,5,5.639583,1.115865,1.115865,0.055000,1.060865,1.060865,55,-6.89,-3.49,0.952,OK
